term,count
Left hemidiaphragm,1
Wall structure,1
Body Weight Changes,1
Morphologic artifact,1
Pulmonary vessels,1
On examination - heart normal (finding),1
Techniques,1
Fused structure,1
Influenza-like symptoms,1
Abnormal thorax morphology,1
Lateral occipitotemporal gyrus,1
Pulmonary artery structure,1
Radiation therapy (procedure),1
Irregular contour,1
Cervicothoracic region,1
Image Laterality,1
cisplatin/cyclophosphamide/doxorubicin/vindesine protocol,1
Thoracolumbar scoliosis,1
Biopsy of cervical lymph node,1
Surgical and medical procedures,1
"Aortic Aneurysm, Thoracic",1
Tortuosity of thoracic aorta,1
Merkel cell carcinoma,1
Pigtail Drain,1
Port Catheters,1
Reduced diffusion capacity,1
Pneumonitis,1
Aneurysm,1
Abnormality of the skeletal system,1
Expanding,1
Subcutaneous air,1
Cross-sectional imaging,1
Feeling abnormal,1
Disease Management,1
Debridement,1
Dysfunction of papillary muscle,1
Acute myocardial infarction,1
New medications,1
Upper gastrointestinal hemorrhage,1
ACUTE INSULIN RESPONSE,1
Distention,1
Views 2,1
Body of stomach,1
Lysis,1
Metastatic Lesion,1
Similarity,1
Air leakage,1
Fractured transverse process,1
L4 Segmental Innervation,1
L3 innervation,1
L2 innervation,1
Cavitation,1
Body of vertebra,1
Methicillin resistant Staphylococcus aureus infection,1
Sore to touch,1
Repair of hip,1
Mental Depression,1
Upper respiratory symptom,1
Calcification of the aorta,1
Cardia of stomach,1
Blindness,1
Midline (qualifier value),1
Trachea displaced,1
Compression fracture,1
Compensatory hyperexpansion,1
Assessment: Infection,1
Structure of head of humerus,1
Sweating,1
Assessed,1
Myotonic Dystrophy,1
Prosthesis Implantation,1
fibrotic,1
