study_id,accuracy,accuracy_normalized,is_shuffled,num_extracted_concepts,with_keywords_comet_score,without_keywords_comet_score,comet-score_delta,with_keywords_gemba_score,without_keywords_gemba_score,gemba
s55357297,2,2,TRUE,63,0.577529848,0.619615078,-0.04208523,10,35,-25
s53378935,0,0,FALSE,45,0.690468192,0.636986196,0.053481996,2,85,-83
s55879474,-1,1,FALSE,45,0.7397331,0.639533281,0.100199819,30,5,25
s57086739,0,0,FALSE,63,0.652122855,0.640032053,0.012090802,5,3,2
s59501539,0,0,FALSE,64,0.680537462,0.675417304,0.005120158,12,10,2
s53974720,-2,-2,TRUE,50,0.701488674,0.737461925,-0.035973251,5,25,-20
s56366133,0,0,FALSE,49,0.6949265,0.723692,-0.0287655,10,12,-2
s57339313,2,2,TRUE,71,0.653634608,0.636109352,0.017525256,2,2,0
s55385808,2,2,TRUE,46,0.523880303,0.517980933,0.00589937,30,5,25
s59483329,1,-1,FALSE,53,0.648038745,0.690325201,-0.042286456,12,15,-3
s56145255,2,2,TRUE,49,0.680954337,0.638604045,0.042350292,92,3,89
s51664282,0,0,TRUE,22,0.677659273,0.659693301,0.017965972,3,5,-2
s55375463,4,4,TRUE,69,0.636243522,0.620329738,0.015913785,25,45,-20
s53952031,0,0,TRUE,41,0.73278892,0.697397351,0.035391569,20,10,10
s53258426,0,0,FALSE,27,0.700534582,0.66066587,0.039868712,5,2,3
s55899977,-2,2,FALSE,77,0.647820413,0.589496076,0.058324337,45,8,37
s56381341,2,2,TRUE,26,0.666118622,0.691007257,-0.024888635,12,15,-3
s58193110,0,0,FALSE,45,0.493445843,0.582221389,-0.088775545,15,30,-15
s51777166,0,0,TRUE,120,0.463487595,0.524435163,-0.060947567,2,10,-8
